idx	context	sentence	y	confidence	y_requires_context
1907	Některým musím vysvětlit, proč jsem jim dala tak špatnou známku (práce byla slohově špatná, měli Bohužel nestihnu obejít všechny, protože zazvoní. obejde Žy a vybere práce a odcházíme ze třídy. Co se mi líbilo: Ži reagovali, byli aktivní.	 Bohužel nestihnu obejít všechny, protože zazvoní. 	Experience	[5, 4]
4486	Upozorňuji je na chyby. Ži čtou před třídou příběhy, které sepsali. Příběhy jsou o ničem, děti nemají fantazii a když už něco vymyslí, Co se mi líbilo: Ži pracovali, přestože byli ve dvojicích podle losu, často s někým, s kým se nekamarádí. kým se nekamarádí. Co se mi nelíbilo: Ži nebyli schopní vymyslet smysluplný rozumný příběh. Zapamatovat si: Rozvíjet fantazii, rozvíjet fantazii, rozvíjet fantazii.	 Co se mi líbilo: Ži pracovali, přestože byli ve dvojicích podle losu, často s někým, s kým se nekamarádí. 	Feeling	[5, 2]
6544	Když se ptám Míši, že třeba všechny tři pracují na tom stejném, proč si to nerozdělí, odvětila jen: „No, to je dost možné. Další situace nastala, když jsem se při jiném úkolu Míši zeptala, proč nepracuje. Dostalo se mi odpovědi: „protože se Míši nechce” a pokračovala si s hraním na mobilu.	 Další situace nastala, když jsem se při jiném úkolu Míši zeptala, proč nepracuje.	Experience	[3, 5]
5966	Žáci se hodně hlásili a rádi četli a překládali. Poté jsme si na tabuli shrnuli pravidla past simple tense a udělali schéma, že existují slovesa pravidelná Do této doby nebyl žádný problém. žádný problém. Byla jsem s průběhem hodiny moc spokojená. Avšak v druhé části hodiny jsem jim zadala práci do dvojic.	 Do této doby nebyl žádný problém.	Experience	[4, 4]
6218	Nejprve jsem děti pomocí vylosovaných papírků rozdělila do skupin. . . na což asi nejsou děti moc zvyklé. . . nevím. (Podle vyučující francouzštiny jsou skupinová cvičení fajn, ale pak se nic nestihne. . . Děti dostaly do skupinek úkol a nejrychlejší měly slíbenou jedničku za aktivitu. Z počátku tato aktivita vypadal slibně, ale bohužel v jedné skupině se sešli žáci, kteří neměli nejmenší zájem úkol plnit, a tak spíše působili jako rušivý element.	 Děti dostaly do skupinek úkol a nejrychlejší měly slíbenou jedničku za aktivitu.	Other	[6, 6]
3066	Nejzábavnější věcí je tam snad jenom poslech nebo když se paní učitelka ptá žáků na jejich názory na Když jsem pro ně vymýšlela aktivity, chtěla jsem, ať jim připravím i něco zábavného mimo učebnici. mimo učebnici. Mám moc ráda skupinové práce, práce ve dvojicích, didaktické hry nebo brainstorming. (Když učím na jazykové škole, tak tyto aktivity využívám hojně a mají velký úspěch.	 Když jsem pro ně vymýšlela aktivity, chtěla jsem, ať jim připravím i něco zábavného mimo učebnici. 	Experience	[5, 5]
4711	Tato debata byla ale vtipná a s oboustrannou úctou. Žáci pravidelně také dostávají úkoly a dnes například měli za úkol zpracovat barový nápojový lístek, dle zadaných Kompletní zadání měli žáci v Informačním systému, se kterým celá škola pracuje. pracuje. 25. 10. Žáci posledních ročníků konzultují s učitelem během dne své závěrečné a maturitní práce. Během vyučovacích hodin se stále opakují témata Inventář, flambování a příprava restaurace.	 Kompletní zadání měli žáci v Informačním systému, se kterým celá škola pracuje. 	Other	[6, 7]
3726	Jednak to pro děti byla změna a jednak si mimo jiné procvičily i psaní na Myslím si, že zapojení moderních technologií do výuky už je v dnešní době jedna z věcí, na kterou by se měly zaměřit všechnyškoly. Co se týče této vyučovací hodiny, tak bych jí nic nevytkla. Žáci byli nadšení, aktivně spolupracovali a naučili se nové poznatky velmi zábavnou formou.	 Myslím si, že zapojení moderních technologií do výuky už je v dnešní době jedna z věcí, na kterou by se měly zaměřit všechny	Belief	[4, 6]
6525	Paní učitelku začínám tedy obdivovat čím dál víc. Do práce má hodně příprav, jelikož každý den neučí jen pět/šest hodin nějakých předmětů.	 Narovinu ale říkám, že to nebylo nic lehkého a občas mi to ještě dělá problém.	Difficulty	[6, 5]
6122	Ještě na gymnáziu jsme měli učitelku, která byla už tak vyčerpaná a unavená, že cestou ze školy dostala mozkovou mrtvici. Naštěstí je v pořádku, a co jsem slyšela, tak zase učí na poloviční úvazek, což je velmi obdivuhodné. Co se týče mnou odučených hodin, tak mám pocit, že neumím učit tak nějak přirozeně. Neumím křičet, když ve třídě žáci zlobí.	 Naštěstí je v pořádku, a co jsem slyšela, tak zase učí na poloviční úvazek, což je velmi obdivuhodné.	Other	[6, 5]
